Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2024,OECD Digital Services Trade Restrictiveness Index,JPN,Japan,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,JPN,Japan,Electronic transactions,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,JPN,Japan,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,USA,United States,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,USA,United States,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,USA,United States,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,USA,United States,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,USA,United States,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,DEU,Germany,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,DEU,Germany,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,DEU,Germany,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,DEU,Germany,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,DEU,Germany,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,IRL,Ireland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,IRL,Ireland,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,IRL,Ireland,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,IRL,Ireland,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,IRL,Ireland,Infrastructure and connectivity,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,FIN,Finland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,FIN,Finland,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,FIN,Finland,Payment system,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,FIN,Finland,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,FIN,Finland,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,FRA,France,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,FRA,France,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,FRA,France,Payment system,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,FRA,France,Electronic transactions,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,FRA,France,Infrastructure and connectivity,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,BRA,Brazil,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,BRA,Brazil,Intellectual property rights,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,BRA,Brazil,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,BRA,Brazil,Electronic transactions,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,BRA,Brazil,Infrastructure and connectivity,Index: 1 = maximum restriction,0.08
2024,OECD Digital Services Trade Restrictiveness Index,ISL,Iceland,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,ISL,Iceland,Intellectual property rights,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,ISL,Iceland,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,ISL,Iceland,Electronic transactions,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,ISL,Iceland,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2024,OECD Digital Services Trade Restrictiveness Index,TUR,Türkiye,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.09
2024,OECD Digital Services Trade Restrictiveness Index,TUR,Türkiye,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,TUR,Türkiye,Payment system,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,TUR,Türkiye,Electronic transactions,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,TUR,Türkiye,Infrastructure and connectivity,Index: 1 = maximum restriction,0.08
2024,OECD Digital Services Trade Restrictiveness Index,IND,India,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.07
2024,OECD Digital Services Trade Restrictiveness Index,IND,India,Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,IND,India,Payment system,Index: 1 = maximum restriction,0.06
2024,OECD Digital Services Trade Restrictiveness Index,IND,India,Electronic transactions,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,IND,India,Infrastructure and connectivity,Index: 1 = maximum restriction,0.12
2024,OECD Digital Services Trade Restrictiveness Index,ZAF,South Africa,Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,ZAF,South Africa,Intellectual property rights,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,ZAF,South Africa,Payment system,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,ZAF,South Africa,Electronic transactions,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,ZAF,South Africa,Infrastructure and connectivity,Index: 1 = maximum restriction,0.24
2024,OECD Digital Services Trade Restrictiveness Index,CHN,China (People’s Republic of),Other barriers affecting trade in digitally enabled services,Index: 1 = maximum restriction,0.09
2024,OECD Digital Services Trade Restrictiveness Index,CHN,China (People’s Republic of),Intellectual property rights,Index: 1 = maximum restriction,0
2024,OECD Digital Services Trade Restrictiveness Index,CHN,China (People’s Republic of),Payment system,Index: 1 = maximum restriction,0.02
2024,OECD Digital Services Trade Restrictiveness Index,CHN,China (People’s Republic of),Electronic transactions,Index: 1 = maximum restriction,0.04
2024,OECD Digital Services Trade Restrictiveness Index,CHN,China (People’s Republic of),Infrastructure and connectivity,Index: 1 = maximum restriction,0.2
